stage,cell,seed,depth,label,mode,status,cosine,early_layer_cosine,residual,max_state,state_distance,dual_distance,layer_count_min,layer_count_max,early_gradient_norm_ratio_min,early_gradient_norm_ratio_mean,bp_early_gradient_norm_min,R_final_0.1,R_any_final_0.1,max_gap_0.1,t0.25_threshold0.1,t0.5_threshold0.1,t0.75_threshold0.1,t0.9_threshold0.1,R_final_0.25,R_any_final_0.25,max_gap_0.25,t0.25_threshold0.25,t0.5_threshold0.25,t0.75_threshold0.25,t0.9_threshold0.25,R_final_0.5,R_any_final_0.5,max_gap_0.5,t0.25_threshold0.5,t0.5_threshold0.5,t0.75_threshold0.5,t0.9_threshold0.5,R_final_0.75,R_any_final_0.75,max_gap_0.75,t0.25_threshold0.75,t0.5_threshold0.75,t0.75_threshold0.75,t0.9_threshold0.75,paired_cosine_delta,paired_early_cosine_delta
replication,depth32_seed0,0,32,bounded_staleness_tau31_seed101,bounded_staleness,ok,0.9101349711418152,0.8944768905639648,0.22735050320625305,4.579970359802246,0.36910292506217957,0.6986724199951202,49,82,0.30190358972721876,0.46233659744142486,0.01024694088846445,31,31,0,14.0,32.0,50.0,58.0,28,28,0,18.0,36.0,56.0,64.0,14,14,2,20.0,,,,3,3,2,,,,,-0.036424219608306885,0.001527056097984314
replication,depth32_seed0,0,32,bounded_staleness_tau62_seed101,bounded_staleness,ok,0.8675207495689392,0.8983923867344856,0.2395402044057846,4.578549385070801,0.584141194820404,1.1646942837237222,49,82,0.13118905436340592,0.34555584332746314,0.01024694088846445,28,28,0,16.0,34.0,52.0,62.0,27,27,0,18.0,36.0,58.0,,14,14,5,22.0,,,,3,3,0,,,,,-0.07903844118118286,0.0054425522685050964
replication,depth32_seed0,0,32,fully_async_local_tau0_h0_seed101,fully_async_local,ok,0.9689738750457764,0.9437881633639336,0.1815643310546875,4.577991008758545,0.7417548298835754,1.4102506863110407,49,82,0.7435253530334597,0.8886721176596086,0.01024694088846445,31,31,3,10.0,30.0,40.0,50.0,31,31,3,10.0,34.0,44.0,52.0,5,31,26,16.0,,,,2,2,10,,,,,0.022414684295654297,0.05083832889795303
replication,depth32_seed0,0,32,fully_async_local_tau31_h0_seed101,fully_async_local,ok,0.9698845744132996,0.9520189538598061,0.1985560655593872,4.576683521270752,1.0490097999572754,1.4425210503342567,49,82,0.5981218113696901,0.811050632226046,0.01024694088846445,31,31,0,10.0,30.0,42.0,50.0,31,31,0,10.0,30.0,44.0,52.0,19,31,17,12.0,60.0,,,2,2,29,,,,,0.02332538366317749,0.05906911939382553
replication,depth32_seed0,0,32,fully_async_local_tau8_h0_seed101,fully_async_local,ok,0.9685647487640381,0.9451795965433121,0.1834617555141449,4.578155040740967,0.8122907280921936,1.4397759970537585,49,82,0.7269813077291313,0.8796910491140076,0.01024694088846445,31,31,0,10.0,30.0,42.0,50.0,31,31,2,10.0,34.0,44.0,52.0,5,31,26,16.0,,,,2,2,11,,,,,0.022005558013916016,0.05222976207733154
replication,depth32_seed0,0,32,heterogeneous_rates_h1.5_seed101,heterogeneous_rates,ok,0.6834552884101868,-0.029082701250445098,1.017014503479004,4.5790181159973145,1.9747624397277832,5.569036613178575,3,407,1.362912732638708e-05,5.727300911581908e-05,0.01024694088846445,18,18,0,20.0,44.0,,,18,18,8,24.0,46.0,,,6,18,12,26.0,,,,6,17,16,32.0,,,,-0.2631039023399353,-0.9220325357164256
replication,depth32_seed0,0,32,random_coordinate_seed101,random_coordinate,ok,0.9508801698684692,0.895998440682888,0.20405948162078857,4.582113742828369,0.1913679838180542,0.3387262431892234,49,82,0.644321462189535,0.6591267469441566,0.01024694088846445,31,31,0,12.0,32.0,46.0,52.0,31,31,0,16.0,34.0,52.0,58.0,15,15,6,20.0,,,,2,2,0,,,,,0.004320979118347168,0.0030486062169075012
replication,depth32_seed0,0,32,random_permutation_seed101,random_permutation,ok,0.9557758569717407,0.8972834050655365,0.14716142416000366,4.582494735717773,0.3892851173877716,1.0286975168319967,64,64,0.7586980367948613,0.8481128754253153,0.01024694088846445,31,31,0,12.0,26.0,40.0,48.0,31,31,0,16.0,32.0,48.0,54.0,18,31,15,22.0,62.0,,,2,2,0,,,,,0.009216666221618652,0.004333570599555969
replication,depth32_seed0,0,32,sync,sync,ok,0.9465591907501221,0.8929498344659805,0.14890418946743011,4.580658435821533,0.0,0.0,,,0.5631634680938052,0.6005906029170381,0.01024694088846445,31,31,0,14.0,30.0,46.0,54.0,31,31,0,18.0,34.0,52.0,60.0,15,15,0,24.0,,,,2,2,0,,,,,0.0,0.0
replication,depth32_seed1,1,32,bounded_staleness_tau31_seed1110,bounded_staleness,ok,0.9184039831161499,0.8889437764883041,0.1632208526134491,4.7639875411987305,0.4363667964935303,0.8786549981262199,45,80,0.2788338582133083,0.4044218628596502,0.008787781000137329,31,31,0,18.0,32.0,50.0,58.0,28,28,0,20.0,38.0,58.0,64.0,12,12,4,48.0,,,,3,3,3,,,,,-0.03545880317687988,-0.00637441873550415
replication,depth32_seed1,1,32,bounded_staleness_tau62_seed1110,bounded_staleness,ok,0.8775627017021179,0.8966205194592476,0.1859823316335678,4.7639875411987305,0.5673591494560242,1.3188585364250613,45,80,0.07105432419347044,0.2601759487145514,0.008787781000137329,28,28,0,18.0,34.0,56.0,64.0,25,25,0,20.0,40.0,62.0,,13,13,7,26.0,,,,4,4,3,,,,,-0.07630008459091187,0.0013023242354393005
replication,depth32_seed1,1,32,fully_async_local_tau0_h0_seed1110,fully_async_local,ok,0.9714759588241577,0.9363146647810936,0.15180014073848724,4.7639875411987305,0.4855293333530426,1.0826856790426722,45,80,0.7765458492376532,0.8651801951466124,0.008787781000137329,31,31,2,16.0,28.0,40.0,46.0,31,31,3,18.0,32.0,48.0,52.0,17,31,14,24.0,38.0,,,3,3,0,,,,,0.01761317253112793,0.04099646955728531
replication,depth32_seed1,1,32,fully_async_local_tau31_h0_seed1110,fully_async_local,ok,0.97163325548172,0.9369659796357155,0.1934654712677002,4.7639875411987305,0.6596262454986572,1.0576285325751291,45,80,0.7306689616515308,0.8328469095007731,0.008787781000137329,31,31,2,18.0,28.0,44.0,46.0,31,31,3,20.0,32.0,44.0,52.0,18,31,16,24.0,32.0,,,5,5,2,,,,,0.017770469188690186,0.041647784411907196
replication,depth32_seed1,1,32,fully_async_local_tau8_h0_seed1110,fully_async_local,ok,0.9711853861808777,0.9364877119660378,0.1593383252620697,4.7639875411987305,0.5402088165283203,1.1106359936141086,45,80,0.7626003893718668,0.8705841664439273,0.008787781000137329,31,31,2,16.0,28.0,40.0,46.0,31,31,3,20.0,32.0,48.0,52.0,18,31,15,24.0,38.0,,,4,4,2,,,,,0.0173225998878479,0.04116951674222946
replication,depth32_seed1,1,32,heterogeneous_rates_h1.5_seed1110,heterogeneous_rates,ok,0.06165609136223793,0.026485124602913857,13.793819427490234,11.491924285888672,14.923591613769531,100.28911986620163,1,622,7.770870177720238e-06,0.0001342403075905013,0.008787781000137329,3,3,0,,,,,3,3,0,,,,,3,3,2,,,,,3,3,2,,,,,-0.8922066949307919,-0.8688330706208944
replication,depth32_seed1,1,32,random_coordinate_seed1110,random_coordinate,ok,0.9582599997520447,0.8912517055869102,0.19143199920654297,4.7639875411987305,0.2035847157239914,0.6249354560128382,45,80,0.4851846623794178,0.6128301447446117,0.008787781000137329,31,31,0,16.0,32.0,48.0,56.0,31,31,0,18.0,34.0,50.0,58.0,15,15,4,44.0,,,,6,6,3,,,,,0.004397213459014893,-0.004066489636898041
replication,depth32_seed1,1,32,random_permutation_seed1110,random_permutation,ok,0.9629888534545898,0.9003864154219627,0.13695833086967468,4.7639875411987305,0.37775227427482605,0.9011469748104705,64,64,0.760266326192601,0.8332924538060474,0.008787781000137329,31,31,0,12.0,28.0,42.0,48.0,31,31,0,16.0,32.0,48.0,54.0,18,31,14,22.0,56.0,,,3,3,0,,,,,0.009126067161560059,0.0050682201981544495
replication,depth32_seed1,1,32,sync,sync,ok,0.9538627862930298,0.8953181952238083,0.13859280943870544,4.7639875411987305,0.0,0.0,,,0.5747610591482998,0.5982838255456351,0.008787781000137329,31,31,0,14.0,30.0,46.0,54.0,31,31,0,18.0,34.0,52.0,60.0,16,16,0,24.0,62.0,,,3,3,0,,,,,0.0,0.0
replication,depth32_seed2,2,32,bounded_staleness_tau31_seed2119,bounded_staleness,ok,0.8902677893638611,0.897519163787365,0.1706250011920929,4.904881000518799,0.46130579710006714,1.0848690463156812,45,78,0.18374818488150269,0.3915086087350689,0.00750989792868495,30,30,0,16.0,32.0,50.0,60.0,26,26,0,20.0,38.0,56.0,,20,20,3,32.0,56.0,,,3,3,0,,,,,-0.06544023752212524,0.00019422918558120728
replication,depth32_seed2,2,32,bounded_staleness_tau62_seed2119,bounded_staleness,ok,0.8532922267913818,0.9045075848698616,0.19816263020038605,4.904881000518799,0.6956077814102173,1.5016036798285308,45,78,0.04531836983797396,0.26566150666745914,0.00750989792868495,29,29,2,16.0,34.0,52.0,62.0,24,24,3,20.0,40.0,64.0,,20,20,3,32.0,56.0,,,4,4,2,,,,,-0.10241580009460449,0.00718265026807785
replication,depth32_seed2,2,32,fully_async_local_tau0_h0_seed2119,fully_async_local,ok,0.967846691608429,0.9245042651891708,0.17352329194545746,4.904881000518799,0.3655952513217926,0.8327235201978275,45,78,0.7645368539078555,0.837157717872647,0.00750989792868495,31,31,0,12.0,26.0,36.0,46.0,31,31,2,14.0,26.0,40.0,50.0,20,31,13,24.0,48.0,,,4,4,2,,,,,0.012138664722442627,0.027179330587387085
replication,depth32_seed2,2,32,fully_async_local_tau31_h0_seed2119,fully_async_local,ok,0.9677445292472839,0.9305311664938927,0.18997447192668915,4.906652927398682,0.6604794859886169,0.6433039608786553,45,78,0.6363946301640706,0.7159679398452008,0.00750989792868495,31,31,0,14.0,26.0,36.0,46.0,31,31,4,14.0,26.0,38.0,52.0,17,17,11,26.0,48.0,,,4,4,0,,,,,0.012036502361297607,0.03320623189210892
replication,depth32_seed2,2,32,fully_async_local_tau8_h0_seed2119,fully_async_local,ok,0.9696894884109497,0.9264502823352814,0.17308516800403595,4.904881000518799,0.4428325295448303,0.7291695326155584,45,78,0.7484100608804014,0.8125483866256789,0.00750989792868495,31,31,2,14.0,26.0,36.0,46.0,31,31,2,14.0,26.0,40.0,50.0,20,31,13,22.0,52.0,,,4,4,2,,,,,0.013981461524963379,0.02912534773349762
replication,depth32_seed2,2,32,heterogeneous_rates_h1.5_seed2119,heterogeneous_rates,ok,0.6940494775772095,0.009505584836006165,0.1167772114276886,4.904881000518799,2.258967161178589,5.564198453735146,0,1135,0.0,2.2728896279973033e-05,0.00750989792868495,5,5,0,,,,,5,5,0,,,,,5,5,2,,,,,5,5,0,,,,,-0.26165854930877686,-0.8878193497657776
