dataset,mode,n,bp_cosine_mean,bp_cosine_std,early_cosine_mean,early_cosine_std,early_norm_ratio_mean,residual_norm_mean,t50_median,t90_reached_count,t90_median
fashion_mnist,async_gs_tau0 (random coordinate + local dual),3,0.9650630950927734,0.006694052958033479,0.9411425565679868,0.009068113966727529,0.8496962739078006,0.16300652424494425,32.0,3,52.0
fashion_mnist,"async_gs_tau31 (random coordinate + local dual, tau=31)",3,0.9612921675046285,0.009319716776791054,0.9449536129832268,0.008301489305370129,0.7816367681565266,0.1866845190525055,30.0,3,52.0
fashion_mnist,async_jacobi (random coordinate + global dual),3,0.9412941733996073,0.015744196451471237,0.8997616370519003,0.00031061349068302443,0.6437407248231154,0.18542578319708505,34.0,3,58.0
fashion_mnist,forward_sweep_jacobi (forward primal + global dual),3,0.9459080100059509,0.00513758483901658,0.9059755032261213,0.0017754065257546648,0.9307832648073578,0.1443248192469279,30.0,3,52.0
fashion_mnist,reverse_sweep_jacobi (reverse primal + global dual),3,0.9554420312245687,0.004096568536986965,0.9097906847794851,0.001729889934055597,0.9017262473934369,0.1305572266379992,30.0,3,52.0
fashion_mnist,sync_gs_forward (forward GS),3,0.9459080100059509,0.00513758483901658,0.9059755032261213,0.0017754065257546648,0.9307832648073578,0.1443248192469279,30.0,3,52.0
fashion_mnist,sync_gs_reverse (reverse GS),3,0.9542271296183268,0.003107748372481412,0.9421467706561089,0.001705944953628385,1.3501258337275974,0.14096310238043466,16.0,3,26.0
fashion_mnist,sync_jacobi (baseline),3,0.9415973424911499,0.009979906906416437,0.9009462545315424,0.004059321596834457,0.6183091103538824,0.14071541527907053,34.0,3,60.0
synthetic,async_gs_tau0 (random coordinate + local dual),3,0.9694321950276693,0.001516688664786297,0.9348690981666247,0.007938883409512916,0.8636701938977693,0.16896254817644754,32.0,3,52.0
synthetic,"async_gs_tau31 (random coordinate + local dual, tau=31)",3,0.9697540799776713,0.0015901479955891756,0.9398387422164282,0.009004457398235258,0.7866223390650328,0.1939986894528071,30.0,3,52.0
synthetic,async_jacobi (random coordinate + global dual),3,0.9536992708841959,0.003254782473751793,0.8937221691012383,0.001943260433298814,0.6536919674594305,0.19214184085528055,34.0,3,58.0
synthetic,forward_sweep_jacobi (forward primal + global dual),3,0.9516104062398275,0.0043282477531253905,0.8984038382768631,0.0018802801468121204,0.9512986427840705,0.15069423615932465,30.0,3,54.0
synthetic,reverse_sweep_jacobi (reverse primal + global dual),3,0.9605536262194315,0.002906850068697874,0.9032158007224401,0.0009129181872588301,0.9233042542692708,0.13580786188443503,32.0,3,52.0
synthetic,sync_gs_forward (forward GS),3,0.9516104062398275,0.0043282477531253905,0.8984038382768631,0.0018802801468121204,0.9512986427840705,0.15069423615932465,30.0,3,54.0
synthetic,sync_gs_reverse (reverse GS),3,0.95682293176651,0.003649414896483881,0.9424404799938202,0.0040070781312798905,1.398138791866817,0.14585567017396292,16.0,3,26.0
synthetic,sync_jacobi (baseline),3,0.952043374379476,0.003950431715407951,0.895197813709577,0.001788009667716765,0.6324360039766519,0.14582806825637817,34.0,3,60.0
