dataset,condition,description,bp_cosine_mean,bp_cosine_std,early_cosine_mean,early_cosine_std,residual_norm_mean
synthetic,A,Baseline (all fresh),0.970372756322225,0.0032719815272614114,0.9282985006769499,0.01839445915116225,0.17346002071505048
synthetic,B,h_{i-1} stale (forward activity),0.9780395825703939,0.003079451094401732,0.9472095717986425,0.013032211686981508,0.21294110043084502
synthetic,C,h_{i+1} stale (backward activity),0.963838795820872,0.0029067290118373382,0.9201089044411978,0.010632285731480088,0.2014360437886631
synthetic,D,lambda_i stale (own dual),-0.051997918635606766,0.07708446403031255,0.017947957540551823,0.07160871127148383,50.163072708882545
synthetic,E,lambda_{i+1} stale (downstream dual),0.9288387894630432,0.01343707352570987,0.9664608463644981,0.0034886052911913715,0.24639276698807025
synthetic,F,"h_{i-1}, h_{i+1} stale (both activities)",0.9512737989425659,0.022346616373566528,0.9231188173095385,0.023342057351185726,0.40517740898348026
synthetic,G,All stale (activities + duals),0.0008106849466760954,0.02388133084660856,0.3103349853675657,0.1701698921314282,18544.036194823017
fashion_mnist,A,Baseline (all fresh),0.9648117025693258,0.0067028552070263125,0.9408076405525208,0.008983176802492162,0.1629734475333522
fashion_mnist,B,h_{i-1} stale (forward activity),0.9753967126210531,0.004413425899541349,0.9540779789288839,0.0026722816645625897,0.20024269312156875
fashion_mnist,C,h_{i+1} stale (backward activity),0.9505402445793152,0.005687974881032998,0.9326290786266327,0.0026823069663907463,0.18988884451651233
fashion_mnist,D,lambda_i stale (own dual),-0.09406201882908742,0.07711069338639974,0.024882474293311436,0.11516666055799,46.0185315691443
fashion_mnist,E,lambda_{i+1} stale (downstream dual),0.8743717869122823,0.056344945540554296,0.9700821911295255,0.0036546516953245216,0.23273734366373958
fashion_mnist,F,"h_{i-1}, h_{i+1} stale (both activities)",0.9269901911417643,0.038181530077870625,0.9257472281654676,0.026519708305988602,0.3908661273315177
fashion_mnist,G,All stale (activities + duals),0.008140834979712963,0.02887969220662251,0.30585629617174465,0.1700016098087608,18346.719958978145
