dataset,method,feedback,bp_cos_mean,bp_cos_std,residual_mean,dual_mean
fashion_mnist,async_local,Symmetric (W^T),0.7134429017702738,0.03780262255062884,0.22679789861043295,2.1338902711868286
fashion_mnist,async_local,Feedback Alignment (Random B),0.6360104481379191,0.049855602077013034,0.25704290469487506,2.3924375772476196
fashion_mnist,pc,Symmetric (W^T),0.6831647356351217,0.04155709863033761,0.7349783778190613,0.0
fashion_mnist,pc,Feedback Alignment (Random B),0.6652120351791382,0.04338952261939098,0.8075368404388428,0.0
fashion_mnist,sync_gs,Symmetric (W^T),0.7753151456514994,0.03300129741750972,0.12317014237244923,3.1082093715667725
fashion_mnist,sync_gs,Feedback Alignment (Random B),0.610375185807546,0.05685885849259952,0.15681063632170358,3.622081438700358
fashion_mnist,sync_pcalm,Symmetric (W^T),0.7134609421094259,0.04005454779294134,0.14965746303399405,2.0172130266825357
fashion_mnist,sync_pcalm,Feedback Alignment (Random B),0.639307697614034,0.04765975300756627,0.1744952748219172,2.249242822329203
synthetic,async_local,Symmetric (W^T),0.8002499540646871,0.0061442616548455994,0.24600150684515634,2.3110522429148355
synthetic,async_local,Feedback Alignment (Random B),0.7336340149243673,0.017453152130349626,0.2412994702657064,2.247048536936442
synthetic,pc,Symmetric (W^T),0.7639504273732504,0.010296008176621699,0.7960683504740397,0.0
synthetic,pc,Feedback Alignment (Random B),0.7465580304463705,0.012639276473529464,0.7605916062990824,0.0
synthetic,sync_gs,Symmetric (W^T),0.858791172504425,0.009664781965247865,0.13370173424482346,3.3397859732309976
synthetic,sync_gs,Feedback Alignment (Random B),0.7244362235069275,0.014963845545432338,0.14708194384972254,3.4131994247436523
synthetic,sync_pcalm,Symmetric (W^T),0.8000854651133219,0.00893469522120007,0.1615657756725947,2.177316506703695
synthetic,sync_pcalm,Feedback Alignment (Random B),0.7341276208559672,0.014431425753564387,0.16453750431537628,2.110933025677999
