method,budget_sweeps,total_layer_update_work,critical_path_steps,test_acc_mean,test_acc_std,test_acc_ci95_low,test_acc_ci95_high,z_vs_bp,stat_label,train_acc_mean,own_bp_cos_mean,residual_mean,dual_norm_mean,wall_clock_mean
bp,0,0,0,0.8533799999999999,0.002248777445635734,0.8515599999999999,0.85504,0.0,[reference],0.8642578125,1.0,0.0,0.0,4.82591783820244
sync_pcalm,16,496,16,0.7324999999999999,0.005754563406549619,0.72802,0.73698,43.748885706083385,[statistically inferior],0.737890625,0.5594693660736084,0.1041521281003952,1.3560502767562865,39.097263901197586
sync_gs_pcalm,16,496,496,0.74448,0.006563307093226688,0.73918,0.7493,35.098366541188874,[statistically inferior],0.75400390625,0.5759657680988312,0.08676576167345047,1.4588470220565797,28.70540634719946
sync_gs_forward_pcalm,16,496,496,0.73302,0.0056539366816405,0.7286199999999999,0.73742,44.23087313504762,[statistically inferior],0.73740234375,0.5594824254512787,0.1089327722787857,1.3841159105300904,38.5690332159982
random_coord_pcalm,16,496,496,0.7391,0.005369823088333546,0.73494,0.74326,43.894149149029964,[statistically inferior],0.74775390625,0.5695007562637329,0.09591206759214402,1.418577527999878,34.994510188596905
sync_pcalm,32,992,32,0.74522,0.006603559646130257,0.74014,0.75032,34.669516020772214,[statistically inferior],0.7560546875,0.5723025321960449,0.08337600082159043,1.9272534847259521,73.31514771040239
sync_gs_pcalm,32,992,992,0.7544000000000001,0.007013914741426492,0.74886,0.75994,30.04862301161565,[statistically inferior],0.76630859375,0.5973586320877076,0.07279579043388366,2.136757731437683,51.959881782197044
sync_gs_forward_pcalm,32,992,992,0.7452799999999999,0.006616418971014453,0.74028,0.7504000000000001,34.58991913305557,[statistically inferior],0.75625,0.5725979447364807,0.08839435577392578,1.9635678052902221,82.43347478060168
random_coord_pcalm,32,992,992,0.74936,0.007013415715612454,0.74378,0.75494,31.580717650936077,[statistically inferior],0.760546875,0.5666429936885834,0.08239658325910568,2.0364130258560182,73.96720483539976
sync_pcalm,64,1984,64,0.7573400000000001,0.008606567259947486,0.75068,0.764,24.14162895191442,[statistically inferior],0.77080078125,0.5946314096450805,0.06783430725336075,2.7429605960845946,144.46992298580298
sync_gs_pcalm,64,1984,1984,0.8486800000000001,0.0016754103974847355,0.8474,0.8499599999999999,3.7476679761431617,[established parity],0.859375,0.5432741701602936,0.04558470323681831,2.2888023376464846,104.2455332027981
sync_gs_forward_pcalm,64,1984,1984,0.758,0.007960213564974249,0.7516999999999999,0.76408,25.783652418640134,[statistically inferior],0.77041015625,0.6043816089630127,0.07213037759065628,2.7807045936584474,142.66494610779628
random_coord_pcalm,64,1984,1984,0.77416,0.010345675425026676,0.7649799999999999,0.78108,16.731558863529262,[statistically inferior],0.7849609375,0.5523798286914825,0.06398898959159852,2.7513594150543215,124.18836818119743
sync_pcalm,128,3968,128,0.84802,0.0018766992300313127,0.8466400000000001,0.84956,4.091960737100325,[established parity],0.8564453125,0.7031727313995362,0.055546564608812334,3.20976243019104,280.7072763786011
sync_gs_pcalm,128,3968,3968,0.84658,0.0009444575162494093,0.84582,0.8473,6.234073673542311,[established parity],0.85625,0.8075363755226135,0.05289352834224701,4.078310775756836,219.5690119468025
sync_gs_forward_pcalm,128,3968,3968,0.84798,0.0017426990560621915,0.8467399999999999,0.8493999999999999,4.244212909032439,[established parity],0.85498046875,0.7325749158859253,0.06069506928324699,3.3171104431152343,299.5645195456018
random_coord_pcalm,128,3968,3968,0.8471399999999999,0.0009502631214563743,0.8463799999999999,0.8478999999999999,5.715397782489059,[established parity],0.85498046875,0.7952820539474488,0.05261288061738014,3.669415998458862,237.73324754720088
